,const,children,age,income,port_modem,tablet,phone,multiple,online_security,online_backup,device_protection,tech_support,streaming_t_v,streaming_movies,paperless_billing,tenure,monthly_charge,bandwidth_g_b_year,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,item1,item2,item3,item4,item5,item6,item7,item8,marital_married,marital_never_married,marital_separated,marital_widowed,area_suburban,area_urban,gender_male,gender_nonbinary,contract_one_year,contract_two_year,internet_service_fiber_optic,internet_service_none,payment_method_credit_card_automatic,payment_method_electronic_check,payment_method_mailed_check
52,1.0,1,59,38391,0,0,1,0,0,0,1,0,1,0,1,5,149,727,4,8,0,0,0,4,4,4,3,4,2,5,4,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
4720,1.0,1,66,21810,0,1,1,1,1,1,1,0,0,1,1,4,217,843,10,13,1,0,0,4,3,4,3,3,4,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1448,1.0,1,57,47514,0,0,1,0,0,0,0,0,0,0,1,13,112,1171,8,14,0,1,0,3,4,3,3,4,4,4,3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
9354,1.0,1,29,33081,1,0,1,0,1,1,1,0,0,0,1,66,129,6235,6,10,2,0,0,4,4,5,4,3,5,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8123,1.0,4,26,50930,0,0,1,0,0,1,0,0,1,1,0,64,230,5998,6,10,0,0,0,3,4,4,3,6,4,3,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9068,1.0,1,24,21409,0,1,0,1,0,0,1,0,1,1,1,51,252,4962,7,12,1,0,0,4,4,3,5,3,5,4,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
59,1.0,0,49,29207,0,0,1,0,0,0,1,0,0,0,1,7,124,676,8,9,1,0,0,5,5,3,4,4,5,5,4,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
3215,1.0,4,46,32643,0,1,1,0,0,0,1,0,0,1,1,13,159,1492,4,14,0,0,0,3,2,4,4,5,2,2,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
7215,1.0,2,43,15157,0,0,1,0,1,0,1,0,1,1,1,69,202,6814,11,14,2,0,1,2,2,2,3,4,2,2,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
7748,1.0,1,66,55164,0,0,1,1,1,1,0,0,0,1,0,70,204,6197,8,12,0,0,0,4,3,4,3,4,4,4,4,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
5835,1.0,1,39,70057,1,0,1,0,0,1,0,1,1,0,0,64,139,5611,9,13,2,0,0,3,2,3,4,5,3,5,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4886,1.0,0,35,50391,0,1,1,1,0,0,1,0,1,1,0,6,252,1211,9,14,2,0,1,4,4,2,5,4,3,3,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
5770,1.0,0,62,39830,1,0,1,1,0,0,1,0,1,1,0,70,232,6735,4,10,1,1,0,6,5,3,4,4,5,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
8139,1.0,5,36,23994,1,1,1,1,0,1,0,0,1,1,1,44,242,4839,11,12,1,0,0,4,4,4,5,2,4,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7454,1.0,1,83,51221,1,1,1,1,0,0,1,0,1,0,0,54,162,5175,7,11,2,3,0,3,4,4,4,3,5,5,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
4918,1.0,1,55,60004,1,0,1,1,0,0,1,0,0,0,1,10,157,1081,12,16,2,0,1,4,4,4,3,2,5,5,4,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
7208,1.0,3,37,25663,1,0,1,1,0,1,1,0,0,0,0,63,147,5600,12,13,2,1,0,5,5,4,4,3,4,5,3,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
4944,1.0,3,61,25480,0,1,1,1,0,0,0,0,0,0,0,4,112,550,14,9,0,1,0,3,4,4,3,3,4,5,4,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
