,children,age,income,port_modem,tablet,phone,multiple,online_security,online_backup,device_protection,tech_support,streaming_t_v,streaming_movies,paperless_billing,tenure,monthly_charge,bandwidth_g_b_year,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,item1,item2,item3,item4,item5,item6,item7,item8,churn,marital_married,marital_never_married,marital_separated,marital_widowed,area_suburban,area_urban,gender_male,gender_nonbinary,contract_one_year,contract_two_year,internet_service_fiber_optic,internet_service_none,payment_method_credit_card_automatic,payment_method_electronic_check,payment_method_mailed_check
0,0,68,28561.99,True,True,True,False,True,True,False,False,False,True,True,6.795512947,172.455519,904.5361102,7.978322947,10,0,1,False,5,5,5,3,4,4,3,4,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False
1,1,27,21704.77,False,True,True,True,True,False,False,False,True,True,True,1.156680997,242.632554,800.9827661,11.69907956,12,0,1,True,3,4,3,3,4,3,4,4,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2,4,50,9609.57,True,False,True,True,False,False,False,False,False,True,True,15.75414408,159.947583,2054.706961,10.75280028,9,0,1,True,4,4,2,4,4,3,3,3,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
3,1,48,18925.23,False,False,True,False,True,False,False,False,True,False,True,17.08722662,119.95684,2164.579412,14.91353964,15,2,0,True,4,4,4,2,5,4,3,3,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
4,0,83,40074.19,True,False,False,False,False,False,False,True,True,False,False,1.670971726,149.948316,271.4934362,8.147416533,16,2,1,False,4,4,4,3,4,4,4,5,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True
5,3,83,22660.2,True,False,True,True,True,True,True,False,False,True,False,7.000993555,185.007692,1039.357983,8.420992898,15,3,1,False,3,3,3,2,4,3,3,3,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False
6,0,79,11467.5,False,False,True,False,False,False,False,True,True,True,False,13.23677381,200.118516,1907.242972,11.18272453,10,0,1,True,6,5,6,4,1,5,5,5,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False
7,2,30,26759.64,False,False,False,False,False,True,False,False,False,False,True,4.26425515,114.950905,979.6127078,7.791632265,16,0,0,True,2,2,2,5,2,3,4,5,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8,2,49,58634.51,True,False,True,False,True,True,False,False,False,False,True,8.220686373,117.468591,1312.874964,5.739005915,20,2,3,False,5,4,4,3,4,3,4,4,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
9,1,86,50231.4,True,False,True,False,True,False,True,False,False,True,True,3.422086139,162.482694,508.7637913,8.707823904,18,1,0,False,2,2,2,2,5,2,3,3,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True
