Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Urban,TimeZone_AST,TimeZone_CST,TimeZone_EST,TimeZone_HAST,TimeZone_MST,TimeZone_PST,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,const
220,1,44,37078.58,12.77867,17,1,1,False,False,False,True,False,False,False,True,False,True,False,True,62.1578,149.9621,5467.127682,2,2,1,4,3,3,3,3,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,1
533,1,85,36987.9,14.85701,9,0,0,False,False,True,True,False,False,False,True,True,False,False,False,48.20538,105.011,3950.92899,3,3,3,4,3,3,4,3,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,1
1509,5,25,67537.98,10.68361,11,1,0,False,True,False,True,False,True,False,True,False,True,False,False,5.449246,120.0035,1034.133433,5,5,6,3,4,3,3,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
1988,3,50,21902.4,12.75802,18,3,0,False,True,False,True,False,True,False,False,True,False,False,False,23.55037,127.482,2097.12893,4,4,4,4,4,3,4,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,1
791,1,35,30774.73,10.7459413,12,1,0,False,False,False,True,True,False,False,False,False,True,False,True,14.86270396,137.468388,1561.128541,4,3,3,2,4,2,3,3,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,1
702,1,56,83923.73,11.80835,12,1,0,False,False,False,True,False,True,False,False,True,True,False,True,15.06815,119.9897,1516.686884,5,6,5,6,2,5,4,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
2481,0,45,36084.05,5.803708,11,2,0,False,False,False,True,False,False,False,True,True,True,False,True,53.34625,142.4713,5128.882309,4,3,4,3,5,4,4,4,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1
74,2,63,37184.53,11.99013,9,1,1,False,True,False,True,False,False,False,False,False,False,False,True,69.77542,112.4551,5731.776578,2,2,4,3,4,2,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
5,0,31,31609.92,8.776267,11,2,1,False,True,False,True,True,False,False,False,True,True,True,True,1.768753,220.1478,736.3553892,3,2,4,4,5,4,5,4,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,1
1112,9,54,63005.71,15.13468172,14,2,1,True,True,False,True,True,True,True,False,True,True,True,True,1.112321784,277.63748,1053.415573,4,2,3,4,3,2,4,4,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,1
8742,3,55,29711.39,8.472127,17,0,0,False,True,True,True,True,True,False,False,False,False,True,True,2.011058,162.4653,956.6535443,2,3,3,5,3,4,4,3,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1
30211,1,62,61970.01,8.815017,13,0,0,False,False,False,True,False,True,True,False,False,False,False,False,1.479514,117.4686,773.2252534,3,4,4,4,4,1,1,2,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,1
3032,1,43,8495.04,7.045651851,11,1,2,True,True,False,True,False,False,False,False,True,False,False,True,5.954024226,92.488023,623.7865683,3,4,3,4,3,4,4,5,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,1
32080,7,55,23171.12,12.27023,13,0,0,False,True,False,False,True,False,True,True,False,False,False,True,71.12475,179.9794,6273.577349,2,3,4,2,5,3,3,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,1
1551,0,63,36973.83,8.503805869,9,4,1,True,True,True,True,False,True,False,True,False,False,True,True,6.811759674,162.482694,831.1303039,4,5,3,3,4,3,4,4,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,1
47974,1,63,25985.06,9.497106973,11,1,0,False,False,True,True,False,True,False,False,False,False,True,False,18.17247008,149.959755,1707.641161,3,3,3,4,4,4,3,4,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,1
363,3,75,21198.04,15.29214,14,2,1,False,True,False,True,True,False,False,True,False,True,True,False,55.90679,252.6378,5248.280009,4,4,3,4,1,4,4,4,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,1
227,2,78,8406.68,6.042225,15,0,0,False,False,False,True,True,False,False,False,False,True,True,False,2.560691,207.6386,751.4491239,3,3,4,2,4,1,3,2,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,1
6402,1,66,36559.57,8.268789,9,2,0,False,True,False,True,True,False,False,False,False,True,False,True,59.30543,137.4684,5101.031717,5,5,4,6,1,5,6,4,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,1
3263,2,61,13138.02,12.50981,15,2,0,False,True,True,True,False,False,False,True,False,True,True,False,7.5636,187.656,1183.25467,4,4,3,3,3,5,4,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,1
578,1,19,26249.7,8.347242,13,3,0,False,True,False,True,True,True,False,True,False,True,True,True,64.01652,255.1555,6110.01152,3,4,4,1,5,3,4,1,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,1
1120,4,51,9410.18,13.67766,19,2,0,False,False,False,True,False,False,False,False,True,False,True,True,50.18296,127.475,4473.615207,3,3,3,5,3,4,2,4,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,1
9165,2,32,11981.69,10.51434,17,0,0,False,False,False,True,True,False,False,True,False,True,False,True,68.37005,162.4676,6484.666128,2,2,3,3,6,3,3,5,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1
554,4,77,9926.73,8.216317,6,0,0,True,True,True,True,True,True,False,False,False,True,False,True,60.06802,152.4624,5708.50306,4,4,3,3,4,3,3,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
18856,0,80,34188.58,11.43863,15,2,0,False,False,False,True,True,False,True,False,False,False,False,True,71.45086,134.9801,5917.693418,4,4,4,4,5,4,5,5,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1
271,1,69,35405.96,13.38037,12,2,0,False,False,False,True,False,False,False,True,True,True,False,True,69.60264,142.4713,6412.993801,4,4,3,4,3,4,3,3,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
752,1,51,49188.96,15.30265,13,0,0,False,False,False,True,False,False,True,False,False,True,False,True,56.56864,159.9349,4995.058092,5,4,3,4,3,4,6,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
831,0,77,56567.94,10.72776,14,0,0,False,False,False,True,True,True,False,True,True,False,True,False,62.47951,175.0211,5422.798976,4,3,2,4,3,4,5,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1
780,1,61,38613.68,11.08536,15,1,0,False,False,False,True,True,False,False,True,True,True,False,True,58.77685,194.9768,5210.637512,3,3,1,3,3,2,2,3,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,1
1401,0,28,13554.79,11.62498,14,2,0,False,True,False,True,True,False,True,False,True,True,False,True,43.45813,184.9496,4408.149328,3,3,3,3,3,2,2,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
