Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Urban,TimeZone_AST,TimeZone_CST,TimeZone_EST,TimeZone_HAST,TimeZone_MST,TimeZone_PST,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,const
822,1,35,4480.29,7.043901,9,1,0,True,False,True,False,False,False,False,False,False,False,True,True,5.614074,127.4421,1108.726166,3,3,3,2,6,1,1,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1
35523,2,54,23513.12,12.24838,6,1,1,False,False,False,True,False,False,False,False,False,False,False,False,6.246694,79.97886,638.1637463,5,5,5,4,2,5,5,5,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,1
1875,3,78,21708.36,10.18198,15,2,0,False,False,False,False,False,True,False,True,False,True,True,True,5.857544,190.1737,1140.769093,4,4,4,5,3,4,4,4,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,1
19556,0,82,50637.25,5.408724,9,0,0,False,False,False,True,True,False,True,True,True,False,True,True,48.01685,227.4754,4240.153662,4,3,5,3,4,4,4,3,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,1
1203,3,58,75008.28,11.33748,8,0,0,False,True,False,True,False,False,True,False,False,True,False,True,52.8369,159.9349,4727.906301,3,3,3,2,4,4,3,4,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,1
365,4,70,6980.4,9.55673,12,2,1,False,True,False,True,False,False,True,False,False,False,False,True,3.071976,102.4746,398.8495205,2,3,4,3,4,3,3,4,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,1
0,0,35,50391.85,9.518609,14,2,0,True,False,True,True,True,False,False,True,False,True,True,False,6.739064,252.6378,1211.320081,4,4,2,5,4,3,3,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,1
90,3,22,91563.15,11.94875,13,1,1,False,False,False,True,False,False,False,False,False,False,True,True,2.647286,127.4421,969.8255583,3,4,4,2,4,3,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
6210,2,63,16538.08,11.55503,12,1,0,False,True,False,True,False,False,True,False,True,True,False,True,2.237975,139.9678,492.0307787,3,4,4,4,3,3,4,3,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,1
1565,3,23,17306.82,6.847776,12,0,0,False,True,False,True,True,False,True,False,True,True,False,True,9.05316,172.4733,1284.333326,3,3,2,3,5,2,4,3,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,1
