Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Urban,TimeZone_AST,TimeZone_CST,TimeZone_EST,TimeZone_HAST,TimeZone_MST,TimeZone_PST,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
24744,3,55,54172.57,10.68312,12,1,0,False,True,False,True,False,False,False,False,False,True,False,True,56.12428,137.4392,4866.05903,1,1,2,3,3,2,3,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1471,7,54,31168.17,9.976411,14,0,0,False,False,False,False,True,True,False,True,True,True,True,False,10.06351,267.6647,1716.442787,3,3,3,4,3,3,3,6,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False
7825,0,58,15537.16,11.6424418,5,1,0,False,False,False,True,True,True,True,False,False,True,True,False,9.727109482,245.128318,1925.341061,3,2,3,5,3,4,4,5,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
60944,1,44,12187.37,11.71311,10,0,2,False,True,True,True,False,True,False,True,True,False,False,False,1.726448,120.0049,847.9529065,5,4,4,2,3,4,4,4,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
1926,1,85,38644.0,12.26333,13,1,0,False,False,False,True,True,False,False,False,False,False,True,True,29.30064,147.4713,2626.362759,2,2,3,4,3,3,3,1,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False
19704,4,57,38158.54,10.80053,15,1,1,False,False,True,True,False,False,False,True,False,False,True,False,45.95837,159.965,4106.326096,4,4,3,2,4,4,5,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
3242,0,47,20125.41,8.842692082,11,0,0,False,False,True,True,True,True,True,False,False,True,False,True,10.19243185,194.958118,1277.521575,3,3,3,6,2,5,5,5,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
7790,2,40,60472.35,15.62886,9,0,0,True,False,False,True,True,False,True,True,False,False,False,False,61.73977,179.9794,5399.848703,3,4,5,4,2,4,3,4,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
19637,1,63,20477.49,10.31027,12,1,0,False,True,True,True,True,True,False,True,True,False,True,True,65.32231,187.4974,6228.197573,3,3,2,3,5,2,4,3,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False
22,2,43,31920.88,14.02031408,10,2,1,False,True,True,True,True,True,False,True,True,False,True,True,10.27782059,207.49737,1400.834009,5,6,5,4,4,6,6,4,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
748,1,77,40411.35,3.059459,12,0,0,False,True,True,True,False,True,False,True,False,True,True,True,6.780515,222.65,1158.10468,4,5,4,2,3,4,4,4,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
1285,2,84,9273.52,8.497383,16,1,1,True,True,True,True,False,True,True,False,True,False,True,False,65.37201,184.9647,5631.487821,7,6,6,4,3,6,4,5,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False
1186,1,24,59523.54,9.809329,17,0,0,False,True,True,True,True,False,False,False,False,True,False,False,60.83121,149.9447,5824.302038,3,3,3,5,3,3,2,3,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
7884,2,36,29547.56,11.08317,15,0,1,False,True,False,True,True,True,False,True,False,False,False,True,41.94323,140.0013,4185.58497,5,4,4,3,4,4,3,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1174,4,49,71323.38,10.22148,13,1,1,False,True,True,True,False,False,False,False,False,True,True,True,2.366635,207.6094,773.1936845,5,5,5,5,4,4,4,5,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
817,7,55,30938.57,10.39695,5,0,0,False,False,True,True,False,False,False,False,False,True,True,True,69.026,187.6094,6768.348896,3,4,4,4,1,3,3,5,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
7080,1,34,80906.28,17.23011599,11,2,0,False,False,False,True,True,True,True,True,True,False,False,False,2.140387928,175.006206,1080.597617,4,4,3,3,4,3,2,3,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
15391,0,48,33316.37,13.64283,7,2,1,False,False,True,True,False,False,False,True,True,False,True,True,61.46622,139.9979,5369.984663,1,1,2,5,3,3,4,4,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False
253,4,62,17765.33,7.951853,13,0,0,False,False,True,True,False,True,True,False,True,True,True,True,57.857,245.132,5497.902793,5,5,5,3,3,5,4,5,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False
21854,0,65,31896.6,9.627499,10,0,1,True,True,False,True,False,False,False,True,True,True,True,True,64.82387,212.6415,6265.224971,5,5,4,2,4,3,4,4,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True
15684,2,21,64176.43,11.86711,18,2,0,True,False,True,True,True,False,True,True,True,True,True,True,68.57996,287.6427,6531.266707,2,3,4,4,3,4,4,3,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False
2164,1,48,6975.47,10.50011,14,1,0,False,False,False,True,True,True,True,False,False,False,False,True,3.459881,149.9741,971.0579616,3,4,4,4,3,2,5,3,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
265,1,33,18308.7,9.649235,11,1,0,False,False,False,True,False,True,False,False,False,False,True,True,1.817421,117.4835,548.1888179,4,3,4,5,3,4,5,4,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True
21825,2,22,57901.36,14.69873,11,0,0,False,False,False,True,True,False,True,False,True,True,False,True,68.30856,184.9496,6572.634947,2,4,4,5,2,4,4,3,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
9998,1,60,53256.9,5.939411,13,1,1,False,False,False,True,True,False,True,True,False,True,False,False,4.171617,204.9634,782.2940277,3,4,4,5,4,4,3,4,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
2536,0,54,34382.04,3.882287,9,1,1,True,True,False,False,True,False,False,True,True,False,True,False,57.46466,184.9797,5425.59259,3,3,3,2,3,3,4,4,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1635,4,72,38137.48,9.296497381,13,2,0,False,True,False,True,False,False,True,True,True,False,False,False,3.27055489,139.983006,911.5267548,3,4,3,3,4,3,4,2,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9510,3,51,43850.44,14.02417,11,1,1,True,False,False,True,True,False,True,True,True,True,True,True,69.13685,287.6427,6462.269067,3,4,4,3,4,4,2,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
35681,9,45,13236.13,14.14538,11,0,1,False,False,False,True,False,True,False,False,True,False,True,True,68.52821,142.4689,6556.791992,5,5,4,3,2,4,4,3,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
162,2,67,24326.72,5.585927,15,1,0,False,True,False,True,True,False,True,False,False,True,True,True,52.71022,262.6106,4943.594438,2,3,4,4,3,3,5,3,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False
24628,1,73,28654.87,5.307097721,13,1,0,False,False,True,True,False,True,True,False,True,False,False,False,13.67931764,149.977753,1245.328696,4,4,3,3,5,4,4,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
778,1,83,60280.07,5.547264,12,1,2,False,True,False,True,False,True,False,False,True,True,False,True,23.86996,132.466,2609.91314,3,4,3,6,2,4,3,5,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
59,4,29,54929.43,10.96282,14,0,0,False,False,False,True,True,False,False,True,False,False,True,True,17.74303,192.4705,1958.174563,3,3,2,3,3,3,5,2,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2293,0,23,113511.5,9.256725,14,1,0,False,False,False,True,False,False,False,False,False,False,False,True,3.684683,112.4551,386.0205317,4,4,5,6,2,4,6,3,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
778,1,54,52756.23,9.722124,14,1,1,True,True,True,True,False,True,False,False,False,True,False,True,58.59644,139.9568,5085.534857,4,3,3,2,5,3,3,4,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
74971,3,76,20068.93,6.173848,15,0,0,False,False,False,True,False,True,True,False,False,False,False,False,4.043506,137.4686,585.4873226,3,2,4,4,3,3,4,3,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False
11897,0,71,23360.78,13.01854,9,0,0,False,False,False,True,True,True,False,True,True,False,False,False,70.49798,140.0342,5939.80671,3,3,3,2,4,1,2,3,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
30733,4,42,31809.46,15.06990851,14,2,0,False,False,False,True,True,True,True,True,True,False,False,True,14.23487852,162.529926,1641.938696,2,2,3,3,3,4,3,3,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
3196,3,21,50562.37,4.900081,16,2,0,False,True,False,True,False,False,False,True,True,False,True,True,4.418665,152.4742,1290.002306,4,4,4,3,4,4,4,4,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
52939,3,74,23083.13,7.210451,9,1,1,True,True,True,True,False,True,True,False,False,False,True,True,61.78631,172.4555,5483.045236,4,3,3,3,4,3,1,4,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False
72,1,66,44541.99,9.06755,11,0,0,False,True,True,True,False,True,False,False,True,True,False,False,51.32084,119.9897,4501.420909,2,3,2,3,3,3,2,5,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
14103,1,52,8283.29,13.80362698,11,0,1,False,True,False,True,True,True,True,False,True,False,False,True,5.478588204,162.483267,1209.961168,4,2,3,4,3,3,4,3,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
19747,0,71,48628.18,9.836612,13,1,0,False,False,False,True,True,True,True,False,False,False,True,True,45.22174,204.961,4032.926983,5,5,3,2,4,3,2,3,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
