Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Urban,TimeZone_AST,TimeZone_CST,TimeZone_EST,TimeZone_HAST,TimeZone_MST,TimeZone_PST,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
17543,3,75,18517.07,8.639223,10,2,1,False,False,False,True,False,False,True,False,False,False,True,True,70.10448,149.9378,6417.345247,4,5,4,3,4,4,5,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1426,3,44,87367.88,6.172326327,17,0,0,False,False,True,True,True,True,True,True,False,True,True,False,9.300517617,257.651257,2113.787891,2,3,3,4,1,4,5,2,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True
206,3,43,38369.68,6.832060399,10,4,0,False,False,False,False,True,True,True,True,False,True,False,False,11.72200614,175.004777,1593.466069,2,3,2,2,4,3,4,3,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
18889,2,75,17193.14,7.453585,11,0,0,True,True,False,True,False,False,True,False,True,True,False,True,60.20473,152.4441,5615.851877,4,3,4,3,4,4,3,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
31736,0,26,38727.07,12.56385,15,2,1,False,True,False,True,True,True,True,False,False,False,True,False,56.08175,184.961,5566.092166,3,3,2,2,3,3,4,2,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
32031,0,57,65952.12,13.10857,11,0,0,True,True,False,True,True,True,True,False,False,True,False,True,52.66447,194.9581,4724.802444,1,2,2,2,4,2,2,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
1920,1,54,110343.8,11.28043,17,2,0,False,True,False,True,False,False,False,False,True,False,False,True,58.95425,92.48802,4930.445331,5,7,5,3,4,5,5,5,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
583,3,59,22445.76,6.958282,8,0,0,False,True,True,True,True,True,False,False,False,False,True,True,48.00544,162.4653,4794.505137,5,5,6,3,5,4,2,5,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
12760,0,81,17165.11,14.57009,12,1,0,False,False,False,True,True,False,False,True,True,False,False,True,8.187262,169.9928,808.4971819,2,2,2,4,4,2,4,3,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
20884,0,39,8809.37,12.27326,9,2,0,False,True,False,True,False,True,False,False,False,True,False,False,13.29584,139.9568,1392.096076,2,3,3,4,3,4,3,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
