,Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Urban,TimeZone_AST,TimeZone_CST,TimeZone_EST,TimeZone_HAST,TimeZone_MST,TimeZone_PST,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
0,38,0,68,28561.99,False,7.978322947,10,0,1,False,True,True,True,False,True,True,False,False,False,True,True,6.795512947,172.455519,904.5361102,5,5,5,3,4,4,3,4,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False
1,10446,1,27,21704.77,True,11.69907956,12,0,1,True,False,True,True,True,True,False,False,False,True,True,True,1.156680997,242.632554,800.9827661,3,4,3,3,4,3,4,4,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2,3735,4,50,9609.57,False,10.75280028,9,0,1,True,True,False,True,True,False,False,False,False,False,True,True,15.75414408,159.947583,2054.706961,4,4,2,4,4,3,3,3,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
3,13863,1,48,18925.23,False,14.91353964,15,2,0,True,False,False,True,False,True,False,False,False,True,False,True,17.08722662,119.95684,2164.579412,4,4,4,2,5,4,3,3,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True
4,11352,0,83,40074.19,True,8.147416533,16,2,1,False,True,False,False,False,False,False,False,True,True,False,False,1.670971726,149.948316,271.4934362,4,4,4,3,4,4,4,5,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
5,17701,3,83,22660.2,False,8.420992898,15,3,1,False,True,False,True,True,True,True,True,False,False,True,False,7.000993555,185.007692,1039.357983,3,3,3,2,4,3,3,3,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
6,2535,0,79,11467.5,True,11.18272453,10,0,1,True,False,False,True,False,False,False,False,True,True,True,False,13.23677381,200.118516,1907.242972,6,5,6,4,1,5,5,5,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
7,23144,2,30,26759.64,True,7.791632265,16,0,0,True,False,False,False,False,False,True,False,False,False,False,True,4.26425515,114.950905,979.6127078,2,2,2,5,2,3,4,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
8,17351,2,49,58634.51,False,5.739005915,20,2,3,False,True,False,True,False,True,True,False,False,False,False,True,8.220686373,117.468591,1312.874964,5,4,4,3,4,3,4,4,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
9,20193,1,86,50231.4,False,8.707823904,18,1,0,False,True,False,True,False,True,False,True,False,False,True,True,3.422086139,162.482694,508.7637913,2,2,2,2,5,2,3,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True
